NO_OF_FRAMES	5019
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:21:16.174	703881.88170780
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
1059	10.58000	1027.903	3894.447	201.794	1069.420	3811.972	204.273	1113.711	3840.160	189.432	1104.962	3913.702	186.015	1091.408	3875.109	228.656	209.476	10.238	49.021	10.628	374.937	48.849	9.996	9.874	48.918	574.517	9.920	48.937
1060	10.59000	1027.934	3894.665	201.888	1069.391	3811.996	204.490	1113.663	3840.250	189.430	1105.017	3913.791	186.138	1091.209	3875.128	228.946	209.490	10.227	49.020	10.636	374.970	48.853	9.982	9.807	48.967	574.461	9.963	48.953
1061	10.60000	1028.079	3894.868	201.978	1069.395	3812.137	204.595	1113.718	3840.405	189.689	1104.780	3913.812	186.342	1091.204	3875.150	228.962	209.492	10.210	49.017	10.626	374.912	48.844	9.987	9.841	48.996	574.490	9.973	48.959
1062	10.61000	1028.276	3894.728	202.336	1069.581	3812.095	204.735	1113.846	3840.375	189.864	1104.913	3913.909	186.392	1091.309	3875.318	229.285	209.481	10.274	49.068	10.603	374.964	48.874	10.012	9.890	48.986	574.474	9.974	48.989
1063	10.62000	1028.276	3894.919	202.776	1069.716	3812.247	205.095	1113.870	3840.536	190.058	1105.194	3914.104	186.275	1091.508	3875.493	229.584	209.513	10.301	49.082	10.609	374.998	48.878	10.045	9.876	48.972	574.482	10.004	49.017
1064	10.63000	1028.031	3895.177	203.191	1069.845	3812.384	205.411	1114.013	3840.636	190.333	1104.897	3914.175	186.439	1091.436	3875.702	229.713	209.511	10.289	49.095	10.622	375.031	48.934	10.015	9.864	49.004	574.475	10.005	49.024
1065	10.64000	1028.481	3895.273	202.801	1069.775	3812.452	205.647	1114.031	3840.724	190.599	1105.045	3914.278	186.513	1091.261	3875.730	230.011	209.486	10.263	49.028	10.628	374.990	48.918	10.014	9.904	48.981	574.483	9.967	48.967
1066	10.65000	1028.084	3895.186	203.429	1069.572	3812.513	205.461	1113.980	3840.752	190.516	1104.860	3914.230	187.099	1091.530	3875.657	229.971	209.511	10.246	49.030	10.633	374.979	48.854	10.008	9.893	48.961	574.444	9.959	48.949
1067	10.66000	1028.241	3895.432	203.178	1069.718	3812.544	205.536	1114.044	3840.895	190.688	1104.758	3914.403	186.868	1091.410	3875.803	230.149	209.452	10.205	48.985	10.607	374.943	48.789	9.988	9.875	48.944	574.479	9.945	48.915
1068	10.67000	1028.199	3895.458	203.185	1069.507	3812.726	205.700	1113.888	3840.921	190.637	1104.539	3914.415	187.004	1091.544	3875.988	230.219	209.501	10.217	49.002	10.622	374.950	48.861	9.977	9.879	48.930	574.482	9.955	48.975
1069	10.68000	1028.052	3895.449	203.531	1069.536	3812.823	205.879	1113.979	3840.968	190.793	1104.655	3914.476	186.921	1091.500	3875.976	230.245	209.482	10.228	49.072	10.631	374.979	48.908	10.027	9.848	48.989	574.493	9.935	48.973
1070	10.69000	1028.195	3895.593	203.836	1069.621	3812.872	205.980	1114.006	3841.128	190.962	1104.927	3914.590	187.067	1091.778	3876.171	230.450	209.508	10.223	49.067	10.642	374.984	48.912	9.997	9.880	48.979	574.451	9.975	48.995
