NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
820	8.19000	12.12472	252.55303	1211.85420	-7.07480	2.59208	5.06420	0.61148	0.99508	0.08205	-0.05558	-0.08818	0.98900	-0.11872	0.04522	0.12304	0.99137	
821	8.20000	15.10427	258.47412	1212.21179	-7.23652	2.53438	5.09859	0.60763	0.99507	0.08261	-0.05489	-0.08878	0.98860	-0.12157	0.04422	0.12584	0.99106	
822	8.21000	18.00938	264.39176	1212.59050	-7.37134	2.40417	5.26440	0.59469	0.99491	0.08563	-0.05320	-0.09167	0.98805	-0.12394	0.04195	0.12819	0.99086	
823	8.22000	21.02340	270.41970	1212.99461	-7.53691	2.28177	5.40003	0.59297	0.99477	0.08810	-0.05164	-0.09403	0.98745	-0.12687	0.03981	0.13106	0.99057	
824	8.23000	24.05023	276.51595	1213.37166	-7.65010	2.23189	5.56035	0.57950	0.99454	0.09087	-0.05131	-0.09682	0.98694	-0.12876	0.03894	0.13302	0.99035	
825	8.24000	27.12461	282.67976	1213.75420	-7.78597	2.14094	5.66919	0.58984	0.99441	0.09284	-0.05022	-0.09872	0.98643	-0.13115	0.03736	0.13538	0.99009	
826	8.25000	30.29945	288.97219	1214.07349	-7.92205	2.09741	5.76919	0.58123	0.99427	0.09454	-0.04992	-0.10045	0.98595	-0.13348	0.03660	0.13773	0.98979	
827	8.26000	33.49634	295.20312	1214.33146	-8.06559	1.99491	5.94364	0.59403	0.99402	0.09767	-0.04881	-0.10349	0.98529	-0.13598	0.03481	0.14022	0.98951	
828	8.27000	36.73512	301.57791	1214.69771	-8.16961	1.93376	6.10203	0.62148	0.99377	0.10045	-0.04832	-0.10624	0.98475	-0.13775	0.03374	0.14202	0.98929	
829	8.28000	40.00277	307.93717	1215.03355	-8.20798	1.92632	6.24870	0.59477	0.99350	0.10296	-0.04861	-0.10878	0.98440	-0.13830	0.03361	0.14269	0.98920	
