NO_OF_FRAMES	1863
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 11:28:35.207	1213728.58984590
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
3657	36.56000	-215.39764	-692.15065	987.35774	-0.55985	-0.03913	-8.10292	0.63451	0.99002	-0.14094	0.00205	0.14095	0.98997	-0.00958	-0.00068	0.00977	0.99995	
3658	36.57000	-215.43686	-692.33874	987.33753	-0.68786	-0.00655	-8.07141	0.59852	0.99009	-0.14040	0.00180	0.14041	0.99002	-0.01187	-0.00011	0.01201	0.99993	
3659	36.58000	-215.51813	-692.56289	987.27113	-0.61684	-0.07261	-8.00248	0.64778	0.99026	-0.13919	0.00275	0.13922	0.99021	-0.01048	-0.00127	0.01077	0.99994	
3660	36.59000	-215.48061	-692.74421	987.19645	-0.62661	-0.04212	-7.92440	0.65371	0.99045	-0.13785	0.00224	0.13787	0.99039	-0.01073	-0.00074	0.01094	0.99994	
3661	36.60000	-215.57320	-692.82554	987.11445	-0.77550	-0.02029	-7.93867	0.67347	0.99042	-0.13810	0.00222	0.13811	0.99033	-0.01336	-0.00035	0.01353	0.99991	
3662	36.61000	-215.64772	-693.01206	987.07491	-0.81819	-0.02989	-7.99675	0.60455	0.99028	-0.13910	0.00250	0.13912	0.99018	-0.01407	-0.00052	0.01428	0.99990	
3663	36.62000	-215.69830	-693.07468	987.04400	-0.81401	0.04273	-7.93542	0.64207	0.99042	-0.13805	0.00122	0.13806	0.99032	-0.01417	0.00075	0.01421	0.99990	
3664	36.63000	-215.74038	-693.26264	987.03132	-0.79206	-0.00332	-7.96180	0.66699	0.99036	-0.13850	0.00197	0.13851	0.99027	-0.01368	-0.00006	0.01382	0.99990	
3665	36.64000	-215.86184	-693.34052	986.95901	-0.79332	0.03301	-7.96542	0.69458	0.99035	-0.13857	0.00135	0.13858	0.99026	-0.01379	0.00058	0.01385	0.99990	
3666	36.65000	-215.98282	-693.34193	986.90380	-1.05171	0.07769	-7.94096	0.62681	0.99041	-0.13815	0.00119	0.13815	0.99024	-0.01837	0.00136	0.01835	0.99983	
3667	36.66000	-216.09440	-693.41035	986.83568	-1.02952	0.08683	-7.95059	0.67696	0.99039	-0.13832	0.00098	0.13832	0.99022	-0.01800	0.00152	0.01797	0.99984	
3668	36.67000	-216.19033	-693.50794	986.84777	-0.90035	0.02729	-7.97569	0.65965	0.99033	-0.13874	0.00171	0.13875	0.99020	-0.01563	0.00048	0.01571	0.99988	
