NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	3D
MARKER_NAMES	DroneElCapitan - 1	DroneElCapitan - 2	DroneElCapitan - 3	DroneElCapitan - 4	DroneElCapitan - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	DroneElCapitan - 1 X	DroneElCapitan - 1 Y	DroneElCapitan - 1 Z	DroneElCapitan - 2 X	DroneElCapitan - 2 Y	DroneElCapitan - 2 Z	DroneElCapitan - 3 X	DroneElCapitan - 3 Y	DroneElCapitan - 3 Z	DroneElCapitan - 4 X	DroneElCapitan - 4 Y	DroneElCapitan - 4 Z	DroneElCapitan - 5 X	DroneElCapitan - 5 Y	DroneElCapitan - 5 Z	
128	1.27000	785.471	-377.456	68.013	37.668	467.803	67.473	810.703	402.493	73.968	743.221	-329.732	70.742	-5.778	-316.341	71.994
129	1.28000	785.492	-377.481	68.038	37.684	467.759	67.495	810.692	402.589	73.973	743.229	-329.758	70.740	-5.785	-316.370	71.984
130	1.29000	785.513	-377.389	68.076	37.665	467.857	67.554	810.664	402.543	73.990	743.236	-329.667	70.831	-5.749	-316.345	72.058
131	1.30000	785.486	-377.374	68.147	37.698	467.804	67.591	810.699	402.477	73.911	743.231	-329.634	70.864	-5.764	-316.326	72.080
132	1.31000	785.468	-377.434	68.051	37.694	467.876	67.525	810.663	402.581	73.988	743.244	-329.691	70.759	-5.752	-316.393	72.046
133	1.32000	785.482	-377.445	68.027	37.689	467.768	67.480	810.710	402.574	73.914	743.248	-329.752	70.751	-5.796	-316.408	71.932
134	1.33000	785.473	-377.465	67.987	37.693	467.737	67.466	810.758	402.459	73.850	743.225	-329.759	70.729	-5.772	-316.404	71.930
135	1.34000	785.469	-377.406	68.064	37.662	467.841	67.515	810.717	402.530	73.946	743.242	-329.726	70.760	-5.777	-316.361	72.015
136	1.35000	785.491	-377.417	68.068	37.670	467.786	67.552	810.700	402.553	73.912	743.233	-329.720	70.749	-5.751	-316.344	72.020
137	1.36000	785.478	-377.473	68.056	37.674	467.819	67.514	810.709	402.549	73.973	743.243	-329.727	70.750	-5.751	-316.385	72.004
